"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-02-20";"  4h14m59.1s";"+20°08'13""";"-10.2";"1799.3";"0.54";" 12h20m";" 19h28m";"  1h45m";"+272°31'";"+38°37'"
"2021-02-21";"  5h05m53.7s";"+22°49'30""";"-10.6";"1816.4";"0.63";" 13h03m";" 20h19m";"  2h41m";"+270°19'";"+49°44'"
"2021-02-22";"  5h59m31.7s";"+24°29'10""";"-10.9";"1838.1";"0.72";" 13h53m";" 21h12m";"  3h37m";"+266°20'";"+61°01'"
"2021-02-23";"  6h55m28.7s";"+24°55'54""";"-11.2";"1863.2";"0.81";" 14h49m";" 22h07m";"  4h30m";"+257°03'";"+72°16'"
"2021-02-24";"  7h52m51.9s";"+24°01'23""";"-11.5";"1890.1";"0.88";" 15h50m";" 23h01m";"  5h22m";"+220°33'";"+81°55'"
"2021-02-25";"  8h50m33.8s";"+21°42'51""";"-11.9";"1916.6";"0.94";" 16h54m";" 23h56m";"  6h08m";"+139°23'";"+79°00'"
"2021-02-26";"  9h47m33.3s";"+18°04'48""";"-12.3";"1940.4";"0.98";" 18h00m";"      ";"  6h51m";"+117°53'";"+67°23'"
"2021-02-27";" 10h43m14.7s";"+13°18'54""";"-12.6";"1959.1";"1.00";" 19h06m";"  0h48m";"  7h30m";"+111°02'";"+54°28'"
"2021-02-28";" 11h37m34.7s";"+07°42'35""";"-12.4";"1970.8";"0.99";" 20h12m";"  1h40m";"  8h06m";"+107°38'";"+41°04'"
"2021-03-01";" 12h30m58.0s";"+01°36'56""";"-11.9";"1974.6";"0.95";" 21h18m";"  2h31m";"  8h41m";"+105°27'";"+27°28'"
"2021-03-02";" 13h24m07.6s";"-04°35'21""";"-11.6";"1970.5";"0.89";" 22h25m";"  3h21m";"  9h17m";"+103°47'";"+13°49'"
"2021-03-03";" 14h17m52.8s";"-10°31'28""";"-11.2";"1959.6";"0.81";" 23h33m";"  4h13m";"  9h54m";"+102°18'";"+00°36'"
"2021-03-04";" 15h12m57.7s";"-15°49'46""";"-10.9";"1943.7";"0.71";"      ";"  5h06m";" 10h35m";"+100°45'";"-12°44'"
"2021-03-05";" 16h09m48.7s";"-20°10'37""";"-10.5";"1924.6";"0.60";"  0h40m";"  6h02m";" 11h20m";"+98°55'";"-26°02'"
